,node_id,ip_addr
206,N45033979,"[nan, '198.74.28.220', nan, nan, nan, nan, nan, nan, nan, nan]"
207,N45056208,"[nan, '66.128.176.217', nan, nan, nan, nan, nan, nan, nan, nan]"
208,N45075162,"[nan, '142.54.30.250', nan, nan, nan, nan, nan, nan, nan, nan]"
209,N45113009,"[nan, '192.69.146.126', nan, nan, nan, nan, nan, nan, nan, nan]"
210,N45159708,"[nan, '192.190.207.23', nan, nan, nan, nan, nan, nan, nan, nan]"
211,N45318180,"[nan, '66.231.0.61', nan, nan, nan, nan, nan, nan, nan, nan]"
212,N45351850,"[nan, '75.102.188.149', nan, nan, nan, nan, nan, nan, nan, nan]"
213,N45381235,"[nan, '198.74.30.174', nan, nan, nan, nan, nan, nan, nan, nan]"
214,N45382631,"[nan, '198.74.30.121', nan, nan, nan, nan, nan, nan, nan, nan]"
215,N45526081,"[nan, '162.218.47.143', nan, nan, nan, nan, nan, nan, nan, nan]"
216,N45533352,"[nan, '192.69.144.181', nan, nan, nan, nan, nan, nan, nan, nan]"
217,N45633817,"[nan, '139.60.109.25', nan, nan, nan, nan, nan, nan, nan, nan]"
218,N45651785,"[nan, '139.60.108.89', nan, nan, nan, nan, nan, nan, nan, nan]"
219,N45692969,"[nan, '216.249.193.130', nan, nan, nan, nan, nan, nan, nan, nan]"
220,N45706011,"[nan, '139.60.111.20', nan, nan, nan, nan, nan, nan, nan, nan]"
221,N45732973,"[nan, '198.74.31.115', nan, nan, nan, nan, nan, nan, nan, nan]"
222,N45740957,"[nan, '139.60.111.162', nan, nan, nan, nan, nan, nan, nan, nan]"
223,N45799412,"[nan, '198.74.31.26', nan, nan, nan, nan, nan, nan, nan, nan]"
224,N45849138,"[nan, '66.128.176.14', nan, nan, nan, nan, nan, nan, nan, nan]"
225,N45879042,"[nan, '162.218.47.45', nan, nan, nan, nan, nan, nan, nan, nan]"
226,N45883262,"[nan, '192.69.147.46', nan, nan, nan, nan, nan, nan, nan, nan]"
227,N45927241,"[nan, '66.231.0.24', nan, nan, nan, nan, nan, nan, nan, nan]"
228,N46003275,"[nan, '139.60.110.218', nan, nan, nan, nan, nan, nan, nan, nan]"
229,N46046949,"[nan, '192.190.206.5', nan, nan, nan, nan, nan, nan, nan, nan]"
230,N46087528,"[nan, '139.60.110.213', nan, nan, nan, nan, nan, nan, nan, nan]"
231,N46106850,"[nan, '192.69.147.66', nan, nan, nan, nan, nan, nan, nan, nan]"
